unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609913640,2021-01-06 06:14:00,BTC/USD,35219.91,35239.68,35200.68,35239.68,1.72907218,60931.9503201024
1609913580,2021-01-06 06:13:00,BTC/USD,35223.02,35223.02,35191.78,35219.30,4.44162621,156430.96597785302
1609913520,2021-01-06 06:12:00,BTC/USD,35205.42,35243.26,35205.00,35221.00,3.36622366,118561.76352886
1609913460,2021-01-06 06:11:00,BTC/USD,35219.99,35227.33,35187.44,35200.00,4.67824158,164674.103616
1609913400,2021-01-06 06:10:00,BTC/USD,35235.81,35242.92,35189.35,35223.85,5.57987695,196544.7487052575
1609913340,2021-01-06 06:09:00,BTC/USD,35260.92,35260.92,35209.17,35222.90,5.18035753,182467.215243437
1609913280,2021-01-06 06:08:00,BTC/USD,35245.26,35313.22,35226.21,35242.09,15.02639460,529561.550868714
1609913220,2021-01-06 06:07:00,BTC/USD,35204.00,35274.70,35204.00,35237.44,19.32874073,681095.3417489312
1609913160,2021-01-06 06:06:00,BTC/USD,35069.11,35204.00,35059.41,35189.33,22.72686927,799743.3026088892
1609913100,2021-01-06 06:05:00,BTC/USD,35089.63,35100.53,35050.34,35069.11,2.95374994,103585.3815583534
1609913040,2021-01-06 06:04:00,BTC/USD,35077.40,35115.77,35077.40,35088.15,2.58347238,90649.266390297
1609912980,2021-01-06 06:03:00,BTC/USD,35021.97,35070.00,35008.75,35070.00,2.19152393,76856.74422509999
1609912920,2021-01-06 06:02:00,BTC/USD,34991.66,35071.03,34975.84,35045.23,2.57152725,90119.7639275175
1609912860,2021-01-06 06:01:00,BTC/USD,35107.83,35111.64,34987.02,34989.91,5.79227130,202671.05148258302
1609912800,2021-01-06 06:00:00,BTC/USD,35099.92,35131.58,35071.44,35082.67,35.62944110,1249975.924395737
1609912740,2021-01-06 05:59:00,BTC/USD,35045.75,35124.20,35045.75,35124.20,17.06393242,599356.975106564
1609912680,2021-01-06 05:58:00,BTC/USD,35052.98,35061.28,35020.00,35041.28,2.46178524,86264.1058947072
1609912620,2021-01-06 05:57:00,BTC/USD,34992.06,35063.40,34992.06,35061.24,1.12313063,39378.35256978119
1609912560,2021-01-06 05:56:00,BTC/USD,35020.47,35052.41,34972.01,35010.62,2.45095301,85809.38447096621
1609912500,2021-01-06 05:55:00,BTC/USD,34975.97,35049.67,34975.97,35011.32,2.62274991,91825.9363789812
1609912440,2021-01-06 05:54:00,BTC/USD,34939.07,34991.37,34933.68,34991.37,11.33788330,396728.06956712104
1609912380,2021-01-06 05:53:00,BTC/USD,34971.18,35019.01,34900.00,34930.59,2.49981036,87319.85076291239
1609912320,2021-01-06 05:52:00,BTC/USD,34982.50,34986.87,34939.08,34966.07,3.54382912,123913.7770779584
1609912260,2021-01-06 05:51:00,BTC/USD,34997.24,35007.96,34916.98,34955.78,3.88891891,135940.1938557998
1609912200,2021-01-06 05:50:00,BTC/USD,35044.32,35044.32,34970.21,35009.72,34.39114960,1204024.517974112
1609912140,2021-01-06 05:49:00,BTC/USD,34992.80,35038.66,34971.41,35038.66,8.57012205,300285.59266845306
1609912080,2021-01-06 05:48:00,BTC/USD,34903.19,34992.80,34889.36,34992.80,34.54368950,1208780.4179356
1609912020,2021-01-06 05:47:00,BTC/USD,34801.76,34945.06,34754.28,34875.87,3.25107433,113384.0456934171
1609911960,2021-01-06 05:46:00,BTC/USD,34791.36,34938.26,34777.52,34800.00,25.85211600,899653.6368
1609911900,2021-01-06 05:45:00,BTC/USD,34800.00,34882.07,34652.95,34820.85,46.60943661,1622980.2007813186
1609911840,2021-01-06 05:44:00,BTC/USD,34911.43,34921.58,34780.27,34802.13,15.29118240,532165.717738512
1609911780,2021-01-06 05:43:00,BTC/USD,34957.75,34987.02,34888.35,34896.49,5.95824225,207921.74109470248
1609911720,2021-01-06 05:42:00,BTC/USD,35011.65,35032.43,34864.53,34952.85,16.16819062,565124.341512267
1609911660,2021-01-06 05:41:00,BTC/USD,34878.13,35042.10,34819.58,35005.17,21.04534873,736696.0100029341
1609911600,2021-01-06 05:40:00,BTC/USD,35141.63,35141.63,34819.58,34848.48,105.96753033,3692807.361354399
1609911540,2021-01-06 05:39:00,BTC/USD,35141.92,35145.70,35029.86,35141.43,20.45888741,718954.5597963963
1609911480,2021-01-06 05:38:00,BTC/USD,35169.56,35208.99,35140.00,35160.76,3.60776164,126851.64116124641
1609911420,2021-01-06 05:37:00,BTC/USD,35174.99,35199.84,35155.57,35199.84,7.45197155,262308.206244552
1609911360,2021-01-06 05:36:00,BTC/USD,35209.65,35242.83,35179.53,35200.51,5.42527629,190972.49229890792
1609911300,2021-01-06 05:35:00,BTC/USD,35219.63,35219.63,35143.71,35217.59,11.96213708,421277.63920723717
1609911240,2021-01-06 05:34:00,BTC/USD,35276.48,35282.21,35174.95,35223.10,8.78709203,309508.621281893
1609911180,2021-01-06 05:33:00,BTC/USD,35361.59,35369.93,35281.97,35281.97,9.01301952,317997.0843140544
1609911120,2021-01-06 05:32:00,BTC/USD,35323.18,35381.22,35301.47,35362.19,7.11223933,251504.35851293273
1609911060,2021-01-06 05:31:00,BTC/USD,35336.73,35373.93,35330.73,35330.81,3.82510906,135144.2014281386
1609911000,2021-01-06 05:30:00,BTC/USD,35250.10,35366.68,35250.10,35341.00,6.96641660,246200.12906059998
1609910940,2021-01-06 05:29:00,BTC/USD,35356.85,35365.34,35247.57,35258.63,11.97117345,422087.17533937347
1609910880,2021-01-06 05:28:00,BTC/USD,35345.96,35386.29,35340.00,35340.00,26.85899737,949196.9670558
1609910820,2021-01-06 05:27:00,BTC/USD,35345.30,35384.31,35340.00,35366.59,28.99440747,1025433.3212844272
1609910760,2021-01-06 05:26:00,BTC/USD,35303.28,35376.47,35303.28,35361.49,7.26561313,256922.90604036368
1609910700,2021-01-06 05:25:00,BTC/USD,35239.68,35271.02,35196.02,35244.37,9.85123536,347200.58398492326
1609910640,2021-01-06 05:24:00,BTC/USD,35269.43,35330.50,35250.23,35250.23,3.32318231,117142.94075943131
1609910580,2021-01-06 05:23:00,BTC/USD,35316.61,35366.26,35270.75,35270.75,7.50391196,264668.60276316997
1609910520,2021-01-06 05:22:00,BTC/USD,35199.47,35343.11,35164.97,35309.93,11.06832626,390821.82545776176
1609910460,2021-01-06 05:21:00,BTC/USD,35259.64,35259.64,35151.57,35198.82,14.26570374,502135.9381175868
1609910400,2021-01-06 05:20:00,BTC/USD,35284.30,35284.30,35170.16,35256.59,68.23460151,2405719.369251451
1609910340,2021-01-06 05:19:00,BTC/USD,35240.70,35318.15,35200.00,35284.55,31.36645964,1106751.413490562
1609910280,2021-01-06 05:18:00,BTC/USD,35269.60,35337.31,35212.73,35255.99,18.51325655,652703.1877942345
1609910220,2021-01-06 05:17:00,BTC/USD,35324.30,35343.39,35239.68,35286.05,9.96759372,351717.010383606
1609910160,2021-01-06 05:16:00,BTC/USD,35457.27,35457.60,35337.39,35359.80,10.40735704,368002.0634629921
1609910100,2021-01-06 05:15:00,BTC/USD,35352.94,35462.13,35342.39,35452.34,7.52906852,266923.0970543368
1609910040,2021-01-06 05:14:00,BTC/USD,35382.77,35398.28,35344.56,35344.56,5.36772499,189719.8779725544
